f[Hz]	Sxx[m^2/Hz]
114.7	1.11841E-19
114.8	8.80064E-20
114.9	8.86347E-20
115	7.2752E-20
115.1	9.62954E-20
115.2	8.34816E-20
115.3	6.60756E-20
115.4	8.42531E-20
115.5	6.68816E-20
115.6	4.09265E-20
115.7	7.52196E-20
115.8	5.42412E-20
115.9	7.59537E-20
116	3.50563E-20
116.1	3.33734E-20
116.2	4.4402E-20
116.3	7.65384E-20
116.4	6.32435E-20
116.5	8.53588E-20
116.6	5.58197E-20
116.7	1.10482E-19
116.8	4.88398E-20
116.9	2.69227E-20
117	4.16288E-20
117.1	1.35945E-19
117.2	3.91597E-20
117.3	9.92971E-20
117.4	7.00756E-20
117.5	5.4596E-20
117.6	5.15511E-20
117.7	9.26401E-20
117.8	3.67637E-20
117.9	3.89805E-20
118	4.75681E-20
118.1	1.41981E-19
118.2	7.31914E-20
118.3	4.25158E-20
118.4	6.99127E-20
118.5	6.79755E-20
118.6	5.25866E-20
118.7	6.87827E-20
118.8	7.70869E-20
118.9	7.93361E-20
119	6.19543E-20
119.1	4.04226E-20
119.2	8.8311E-20
119.3	5.70949E-20
119.4	6.53112E-20
119.5	1.34229E-19
119.6	6.60747E-20
119.7	4.14262E-20
119.8	4.56851E-20
119.9	6.10584E-20
120	5.36279E-20
120.1	4.77031E-20
120.2	7.1329E-20
120.3	5.17385E-20
120.4	5.86505E-20
120.5	1.30687E-19
120.6	3.93321E-20
120.7	7.63259E-20
120.8	6.98329E-20
120.9	4.90438E-20
121	8.44464E-20
121.1	9.51966E-20
121.2	5.17547E-20
121.3	4.19444E-20
121.4	7.85221E-20
121.5	6.96462E-20
121.6	4.58168E-20
121.7	1.21809E-19
121.8	3.96546E-20
121.9	7.03608E-20
122	8.06999E-20
122.1	2.39987E-20
122.2	5.78213E-20
122.3	4.7644E-20
122.4	3.29241E-20
122.5	7.63161E-20
122.6	3.12991E-20
122.7	5.10846E-20
122.8	7.58897E-20
122.9	8.50254E-20
123	1.02378E-19
123.1	5.34737E-20
123.2	6.59128E-20
123.3	3.85912E-20
123.4	5.97943E-20
123.5	3.55821E-20
123.6	5.52325E-20
123.7	7.00966E-20
123.8	5.90381E-20
123.9	5.50893E-20
124	8.24659E-20
124.1	4.39961E-20
124.2	3.39005E-20
124.3	5.25851E-20
124.4	7.25581E-20
124.5	5.85455E-20
124.6	6.75487E-20
124.7	8.80339E-20
124.8	4.12345E-20
124.9	4.40631E-20
125	8.35039E-20
125.1	7.758E-20
125.2	1.16177E-19
125.3	4.83433E-20
125.4	4.47921E-20
125.5	6.66385E-20
125.6	4.6388E-20
125.7	4.28182E-20
125.8	7.63697E-20
125.9	6.54579E-20
126	9.40072E-20
126.1	1.4561E-19
126.2	1.00533E-19
126.3	6.21069E-20
126.4	5.33079E-20
126.5	8.79066E-20
126.6	4.75023E-20
126.7	6.08878E-20
126.8	6.80778E-20
126.9	7.1111E-20
127	6.32564E-20
127.1	6.06277E-20
127.2	9.67816E-20
127.3	5.40967E-20
127.4	1.12738E-19
127.5	6.22639E-20
127.6	3.75418E-20
127.7	9.41387E-20
127.8	7.04123E-20
127.9	6.68952E-20
