t[sec]	x[nm]
0.02837	-14.73213
0.0284	-25.13962
0.02843	-16.24337
0.02847	-26.1556
0.0285	-38.97787
0.02853	-24.87384
0.02857	-21.98169
0.0286	-25.52048
0.02863	-14.63216
0.02867	-10.90719
0.0287	-2.43309
0.02873	-6.08973
0.02877	-6.61089
0.0288	-8.18211
0.02883	-5.18039
0.02887	-0.54216
0.0289	-7.27448
0.02893	-7.83212
0.02897	-17.08399
0.029	-23.47325
0.02903	-26.88501
0.02907	-19.99915
0.0291	-14.36114
0.02913	-12.62323
0.02917	1.38781
0.0292	1.7358
0.02923	1.5822
0.02927	5.10836
0.0293	7.4067
0.02933	14.46304
0.02937	18.69219
0.0294	19.6279
0.02943	16.12715
0.02947	12.73971
0.0295	6.05978
0.02953	1.279
0.02957	-2.60967
0.0296	-3.31263
0.02963	1.62402
0.02967	6.65264
0.0297	7.98133
0.02973	6.918
0.02977	0.13435
0.0298	-1.80829
0.02983	-1.58553
0.02987	-2.04212
0.0299	2.05495
0.02993	5.6204
0.02997	11.37139
0.03	1.72139
0.03003	-6.86241
0.03007	-15.30224
0.0301	-14.34264
0.03013	-8.91832
0.03017	-7.78526
0.0302	-10.62712
0.03023	-8.166
0.03027	-6.14937
0.0303	-7.83412
0.03033	-6.90936
0.03037	-16.89547
0.0304	-11.90347
0.03043	-16.41615
0.03047	-17.19232
0.0305	-11.85505
0.03053	-10.26458
0.03057	-3.75638
0.0306	0.95417
0.03063	-3.79789
0.03067	0.27522
0.0307	3.9555
0.03073	9.06898
0.03077	8.90916
0.0308	5.62702
0.03083	6.62621
0.03087	-1.71294
0.0309	-2.81621
0.03093	-2.16203
0.03097	-1.28265
0.031	1.0043
0.03103	6.0686
0.03107	7.29791
0.0311	8.18406
0.03113	23.04216
0.03117	25.09667
0.0312	22.7108
0.03123	13.00792
0.03127	20.07892
0.0313	31.82219
0.03133	33.82128
0.03137	41.75326
0.0314	30.07293
0.03143	26.00037
0.03147	16.39865
0.0315	14.99169
0.03153	21.2824
0.03157	27.34967
0.0316	25.22695
0.03163	13.23351
0.03167	12.25771
0.0317	17.86222
0.03173	17.5351
0.03177	21.42785
0.0318	15.54159
0.03183	10.54964
0.03187	5.07217
0.0319	1.48306
0.03193	2.00894
0.03197	-2.89172
0.032	-5.36698
0.03203	2.34643
0.03207	0.96278
0.0321	-3.56763
0.03213	-2.97993
0.03217	-8.51
0.0322	-3.97727
0.03223	-4.5748
0.03227	-0.03412
0.0323	6.86971
0.03233	3.41351
0.03237	1.25526
0.0324	-3.25014
0.03243	4.45629
0.03247	7.03409
0.0325	9.31339
0.03253	0.95654
0.03257	-1.60412
0.0326	-0.35444
0.03263	-3.64378
0.03267	-0.09106
0.0327	-6.88736
0.03273	-4.84194
0.03277	-7.59736
0.0328	-12.91524
0.03283	-7.04405
0.03287	-4.28251
0.0329	0.03649
0.03293	-1.53969
0.03297	7.19986
0.033	4.91167
0.03303	4.83716
0.03307	9.94884
0.0331	4.93398
0.03313	0.68044
0.03317	1.80446
0.0332	-0.46378
0.03323	3.28736
0.03327	4.81289
0.0333	8.38309
0.03333	17.96161
0.03337	6.40018
0.0334	5.8668
0.03343	1.96103
0.03347	-2.15676
0.0335	1.56504
0.03353	14.92148
0.03357	11.92991
0.0336	7.32195
0.03363	7.33535
0.03367	13.91929
0.0337	6.98919
0.03373	7.93539
0.03377	9.11706
0.0338	17.68933
0.03383	18.95352
0.03387	7.53492
0.0339	4.916
0.03393	-0.92397
0.03397	-3.86753
0.034	-3.68504
0.03403	2.05797
0.03407	0.92185
0.0341	-5.22226
0.03413	-1.51357
0.03417	2.92453
0.0342	2.76609
0.03423	16.41436
0.03427	18.94035
0.0343	23.70644
0.03433	12.25945
0.03437	8.47005
0.0344	-0.16025
0.03443	-3.99012
0.03447	-14.29496
0.0345	-12.27734
0.03453	-9.41241
0.03457	-11.36968
0.0346	-18.09463
0.03463	-8.648
0.03467	-1.91022
0.0347	-2.82045
0.03473	-16.93203
0.03477	-9.34526
0.0348	-5.03269
0.03483	-4.32048
0.03487	-0.32059
0.0349	6.82813
0.03493	15.66339
0.03497	21.30346
